event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Sevilla,away, 11 ,Yellow card, Gonzalo Montiel ,
2,1,Manchester United,home, 14 ,Goal, Marcel Sabitzer , Bruno Fernandes 
3,1,Manchester United,home, 21 ,Goal, Marcel Sabitzer , Anthony Martial 
4,1,Sevilla,away, 25 ,Yellow card, Ivan Rakitic ,
5,1,Sevilla,away, 38 ,Yellow card, Erik Lamela ,
6,1,Manchester United,home, 41 ,Yellow card, Bruno Fernandes ,
7,1,Sevilla,away, 45 ,Substitution, Jesus Navas , Oliver Torres 
8,1,Manchester United,home, 45 ,Substitution, Harry Maguire , Raphaël Varane 
9,1,Sevilla,away, 58 ,Yellow card, Nemanja Gudelj ,
10,1,Manchester United,home, 62 ,Substitution, Christian Eriksen , Bruno Fernandes 
11,1,Manchester United,home, 62 ,Substitution, Wout Weghorst , Anthony Martial 
12,1,Manchester United,home, 62 ,Substitution, Anthony Elanga , Jadon Sancho 
13,1,Manchester United,home, 65 ,Yellow card, Antony ,
14,1,Sevilla,away, 66 ,Substitution, Youssef En-Nesyri , Erik Lamela 
15,1,Sevilla,away, 72 ,Yellow card, Marcos Acuña ,
16,1,Sevilla,away, 73 ,Substitution, Suso , Tanguy Nianzou 
17,1,Manchester United,home, 81 ,Substitution, Facundo Pellistri , Antony 
18,1,Sevilla,away, 84 ,Own goal, Tyrell Malacia , Own goal 
19,1,Manchester United,home, 89 ,Yellow card, Facundo Pellistri ,
20,1,Sevilla,away, 90 ,Substitution, Papu Gómez , Gonzalo Montiel 
21,1,Sevilla,away, 92 ,Own goal, Harry Maguire , Own goal 
22,2,Sporting CP,away, 20 ,Yellow card, Gonçalo Inácio ,
23,2,Juventus,home, 24 ,Yellow card, Adrien Rabiot ,
24,2,Juventus,home, 44 ,Substitution, Mattia Perin , Wojciech Szczęsny 
25,2,Sporting CP,away, 49 ,Substitution, Ousmane Diomande , Jerry St. Juste 
26,2,Sporting CP,away, 62 ,Substitution, Arthur Gomes , Youssef Chermiti 
27,2,Juventus,home, 62 ,Substitution, Dušan Vlahović , Arek Milik 
28,2,Sporting CP,away, 62 ,Substitution, Matheus Reis , Nuno Santos 
29,2,Juventus,home, 62 ,Substitution, Nicolò Fagioli , Filip Kostić 
30,2,Juventus,home, 66 ,Yellow card, Dušan Vlahović ,
31,2,Juventus,home, 73 ,Goal, Federico Gatti ,
32,2,Sporting CP,away, 77 ,Substitution, Dário Essugo , Marcus Edwards 
33,2,Sporting CP,away, 77 ,Substitution, Hector Bellerin , Ricardo Esgaio 
34,2,Juventus,home, 85 ,Substitution, Paul Pogba , Ángel Di María 
35,2,Juventus,home, 85 ,Substitution, Leandro Paredes , Manuel Locatelli 
36,3,R. Union SG,away, 25 ,Yellow card, Siebe Van der Heyden ,
37,3,Bayer Leverkusen,home, 45 ,Substitution, Kerem Demirbay , Exequiel Palacios 
38,3,R. Union SG,away, 51 ,Goal, Victor Boniface , Teddy Teuma 
39,3,Bayer Leverkusen,home, 67 ,Substitution, Sardar Azmoun , Amine Adli 
40,3,R. Union SG,away, 75 ,Substitution, Cameron Puertas , Yorbe Vertessen 
41,3,Bayer Leverkusen,home, 76 ,Yellow card, Piero Hincapié ,
42,3,R. Union SG,away, 80 ,Substitution, Oussama El Azzouzi , Senne Lynen 
43,3,Bayer Leverkusen,home, 82 ,Goal, Florian Wirtz , Sardar Azmoun 
44,3,R. Union SG,away, 84 ,Yellow card, Loïc Lapoussin ,
45,3,Bayer Leverkusen,home, 87 ,Substitution, Adam Hložek , Moussa Diaby 
46,3,R. Union SG,away, 89 ,Substitution, Gustaf Nilsson , Victor Boniface 
47,3,R. Union SG,away, 93 ,Yellow card, Anthony Moris ,
48,4,Feyenoord,home, 18 ,Yellow card, Mats Wieffer ,
49,4,Roma,away, 26 ,Substitution, Stephan El Shaarawy , Paulo Dybala 
50,4,Feyenoord,home, 35 ,Yellow card, Sebastian Szymański ,
51,4,Roma,away, 43 ,Missed penalty, Lorenzo Pellegrini , Missed penalty 
52,4,Roma,away, 45 ,Substitution, Georginio Wijnaldum , Lorenzo Pellegrini 
53,4,Feyenoord,home, 53 ,Goal, Mats Wieffer , Oussama Idrissi 
54,4,Roma,away, 58 ,Substitution, Andrea Belotti , Tammy Abraham 
55,4,Feyenoord,home, 64 ,Substitution, Igor Paixão , Oussama Idrissi 
56,4,Feyenoord,home, 72 ,Substitution, Danilo , Alireza Jahanbakhsh 
57,4,Feyenoord,home, 83 ,Substitution, Marcos López , Santiago Giménez 
58,4,Roma,away, 84 ,Substitution, Zeki Çelik , Leonardo Spinazzola 
59,5,R. Union SG,home, 18 ,Goal, Teddy Teuma , Simon Adingra 
60,5,1. FC Union Berlin,away, 27 ,Yellow card, Diogo Leite ,
61,5,1. FC Union Berlin,away, 48 ,Yellow card, Aïssa Laïdouni ,
62,5,1. FC Union Berlin,away, 56 ,Substitution, Janik Haberer , Aïssa Laïdouni 
63,5,1. FC Union Berlin,away, 56 ,Substitution, Jordan Siebatcheu , Sven Michel 
64,5,1. FC Union Berlin,away, 60 ,Yellow card, Janik Haberer ,
65,5,R. Union SG,home, 63 ,Goal, Lazare Amani ,
66,5,R. Union SG,home, 67 ,Substitution, Gustaf Nilsson , Simon Adingra 
67,5,1. FC Union Berlin,away, 67 ,Substitution, Jamie Leweling , Morten Thorsby 
68,5,1. FC Union Berlin,away, 74 ,Substitution, Niko Gießelmann , Josip Juranović 
69,5,1. FC Union Berlin,away, 74 ,Substitution, Christopher Trimmel , Jérôme Roussillon 
70,5,1. FC Union Berlin,away, 80 ,Second yellow card, Janik Haberer ,
71,5,R. Union SG,home, 85 ,Yellow card, Bart Nieuwkoop ,
72,5,R. Union SG,home, 85 ,Substitution, Oussama El Azzouzi , Teddy Teuma 
73,5,R. Union SG,home, 89 ,Disallowed goal,Disallowed goal,
74,5,R. Union SG,home, 92 ,Substitution, Casper Terho , Victor Boniface 
75,5,R. Union SG,home, 94 ,Goal, Loïc Lapoussin , Lazare Amani 
76,5,1. FC Union Berlin,away, 94 ,Yellow card, Rani Khedira ,
77,6,Roma,away, 6 ,Yellow card, Rick Karsdorp ,
78,6,Real Sociedad,home, 13 ,Yellow card, Igor Zubeldia ,
79,6,Roma,away, 17 ,Yellow card, Gianluca Mancini ,
80,6,Real Sociedad,home, 39 ,Yellow card, Diego Rico Salguero ,
81,6,Roma,away, 41 ,Substitution, Nicola Zalewski , Rick Karsdorp 
82,6,Roma,away, 46 ,Disallowed goal,Disallowed goal,
83,6,Real Sociedad,home, 62 ,Substitution, Carlos Fernandez Luna , Alexander Sorloth 
84,6,Real Sociedad,home, 71 ,Substitution, Takefusa Kubo , Mikel Oyarzabal 
85,6,Real Sociedad,home, 71 ,Substitution, Álex Sola , Andoni Gorosabel 
86,6,Roma,away, 75 ,Substitution, Stephan El Shaarawy , Paulo Dybala 
87,6,Roma,away, 76 ,Substitution, Tammy Abraham , Andrea Belotti 
88,6,Real Sociedad,home, 79 ,Substitution, Mohamed Cho , Brais Mendez 
89,6,Real Sociedad,home, 87 ,Yellow card, Carlos Fernandez Luna ,
90,6,Roma,away, 87 ,Substitution, Edoardo Bove , Lorenzo Pellegrini 
91,6,Roma,away, 98 ,Yellow card, Chris Smalling ,
92,6,Real Sociedad,home, 98 ,Second yellow card, Carlos Fernandez Luna ,
93,7,Bayer Leverkusen,away, 3 ,Goal, Moussa Diaby , Edmond Tapsoba 
94,7,Ferencváros,home, 14 ,Substitution, Marquinhos , Henry Wingo 
95,7,Bayer Leverkusen,away, 71 ,Substitution, Adam Hložek , Sardar Azmoun 
96,7,Bayer Leverkusen,away, 71 ,Substitution, Amine Adli , Florian Wirtz 
97,7,Ferencváros,home, 78 ,Substitution, Balázs Manner , Amer Gojak 
98,7,Bayer Leverkusen,away, 81 ,Goal, Amine Adli , Moussa Diaby 
99,7,Bayer Leverkusen,away, 82 ,Substitution, Odilon Kossounou , Piero Hincapié 
100,7,Bayer Leverkusen,away, 82 ,Substitution, Timothy Fosu-Mensah , Jeremie Frimpong 
101,7,Bayer Leverkusen,away, 86 ,Substitution, Kerem Demirbay , Robert Andrich 
102,7,Ferencváros,home, 91 ,Substitution, Nikolai Frederiksen , Ryan Mmaee 
103,7,Ferencváros,home, 91 ,Substitution, Krisztián Lisztes , Marquinhos 
104,8,SC Freiburg,home, 26 ,Yellow card, Manuel Gulde ,
105,8,Juventus,away, 27 ,Disallowed goal,Disallowed goal,
106,8,SC Freiburg,home, 44 ,Second yellow card, Manuel Gulde ,
107,8,SC Freiburg,home, 44 ,Yellow card, Nicolas Höfler ,
108,8,Juventus,away, 45 ,Penalty, Dušan Vlahović , Penalty 
109,8,SC Freiburg,home, 45 ,Substitution, Kenneth Schmidt , Maximilian Eggestein 
110,8,Juventus,away, 56 ,Yellow card, Dušan Vlahović ,
111,8,SC Freiburg,home, 62 ,Substitution, Roland Sallai , Ritsu Dōan 
112,8,SC Freiburg,home, 62 ,Substitution, Vincenzo Grifo , Lucas Höler 
